Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
280.00	4.1607	883.58	0.0011318	212.59	217.30	1.0598	0.96046	2.8141	471.54	0.64959	87.731	0.10203	0.0032973	121.74	0.0082140	391.76	425.94	1.8050	0.92316	2.2769	207.72	13.185	15.601	0.022468
281.00	4.2670	876.64	0.0011407	215.07	219.94	1.0688	0.96310	2.8670	461.89	0.68922	86.079	0.10079	0.0031234	125.81	0.0079482	391.12	425.03	1.7987	0.93157	2.3576	207.01	13.029	15.740	0.022980
282.00	4.3752	869.52	0.0011501	217.58	222.61	1.0779	0.96584	2.9246	452.19	0.73145	84.437	0.099549	0.0029516	130.05	0.0076891	390.43	424.07	1.7923	0.94029	2.4458	206.28	12.872	15.884	0.023528
283.00	4.4855	862.23	0.0011598	220.12	225.32	1.0870	0.96869	2.9876	442.44	0.77654	82.802	0.098306	0.0027820	134.48	0.0074362	389.69	423.04	1.7857	0.94935	2.5425	205.52	12.713	16.035	0.024114
284.00	4.5978	854.74	0.0011699	222.69	228.07	1.0963	0.97166	3.0569	432.63	0.82477	81.173	0.097059	0.0026146	139.09	0.0071894	388.90	421.95	1.7789	0.95878	2.6490	204.74	12.551	16.194	0.024745
285.00	4.7123	847.05	0.0011806	225.30	230.86	1.1056	0.97478	3.1333	422.75	0.87650	79.548	0.095810	0.0024495	143.92	0.0069482	388.06	420.80	1.7720	0.96864	2.7668	203.94	12.387	16.361	0.025424
286.00	4.8289	839.12	0.0011917	227.95	233.70	1.1151	0.97806	3.2181	412.81	0.93211	77.925	0.094558	0.0022868	148.98	0.0067123	387.15	419.57	1.7649	0.97895	2.8979	203.10	12.220	16.537	0.026158
287.00	4.9478	830.95	0.0012034	230.64	236.59	1.1247	0.98155	3.3127	402.77	0.99205	76.302	0.093304	0.0021266	154.29	0.0064814	386.19	418.25	1.7576	0.98977	3.0448	202.24	12.049	16.723	0.026956
288.00	5.0688	822.50	0.0012158	233.38	239.54	1.1344	0.98528	3.4189	392.63	1.0568	74.677	0.092050	0.0019690	159.87	0.0062552	385.15	416.85	1.7501	1.0012	3.2104	201.34	11.874	16.921	0.027824
289.00	5.1921	813.75	0.0012289	236.17	242.55	1.1443	0.98932	3.5389	382.37	1.1271	73.047	0.090796	0.0018141	165.75	0.0060332	384.03	415.36	1.7423	1.0132	3.3985	200.41	11.694	17.132	0.028775
290.00	5.3177	804.67	0.0012428	239.02	245.63	1.1544	0.99373	3.6756	371.95	1.2037	71.409	0.089546	0.0016620	171.96	0.0058152	382.83	413.75	1.7341	1.0260	3.6142	199.45	11.509	17.357	0.029821
291.00	5.4457	795.21	0.0012575	241.94	248.78	1.1647	0.99861	3.8325	361.34	1.2874	69.758	0.088303	0.0015130	178.55	0.0056007	381.53	412.03	1.7257	1.0396	3.8637	198.44	11.317	17.599	0.030978
292.00	5.5761	785.33	0.0012733	244.92	252.02	1.1753	1.0041	4.0145	350.49	1.3794	68.091	0.087072	0.0013671	185.55	0.0053893	380.13	410.18	1.7169	1.0543	4.1558	197.38	11.117	17.860	0.032266
293.00	5.7089	774.98	0.0012903	247.99	255.36	1.1861	1.0104	4.2283	339.35	1.4811	66.403	0.085862	0.0012245	193.03	0.0051804	378.61	408.18	1.7077	1.0701	4.5023	196.27	10.909	18.143	0.033711
294.00	5.8443	764.09	0.0013087	251.16	258.81	1.1972	1.0177	4.4834	327.85	1.5945	64.687	0.084684	0.0010855	201.06	0.0049736	376.94	406.01	1.6979	1.0872	4.9196	195.09	10.690	18.452	0.035346
295.00	5.9822	752.56	0.0013288	254.43	262.38	1.2087	1.0265	4.7939	315.91	1.7218	62.936	0.083558	0.00095021	209.72	0.0047682	375.11	403.64	1.6876	1.1060	5.4316	193.84	10.459	18.792	0.037215
296.00	6.1227	740.28	0.0013508	257.83	266.10	1.2207	1.0371	5.1813	303.44	1.8663	61.139	0.082512	0.00081907	219.14	0.0045634	373.10	401.04	1.6766	1.1269	6.0741	192.49	10.214	19.170	0.039380
297.00	6.2660	727.09	0.0013753	261.39	270.01	1.2332	1.0504	5.6799	290.31	2.0321	59.283	0.081592	0.00069238	229.46	0.0043581	370.85	398.16	1.6647	1.1505	6.9032	191.01	9.9510	19.595	0.041929
298.00	6.4121	712.77	0.0014030	265.15	274.14	1.2464	1.0675	6.3473	276.42	2.2248	57.347	0.080873	0.00057058	240.90	0.0041511	368.33	394.95	1.6518	1.1774	8.0128	189.38	9.6668	20.078	0.044993
299.00	6.5611	696.98	0.0014348	269.15	278.56	1.2605	1.0897	7.2859	261.61	2.4523	55.303	0.080473	0.00045424	253.78	0.0039404	365.45	391.30	1.6376	1.2091	9.5720	187.52	9.3556	20.639	0.048787
300.00	6.7131	679.24	0.0014722	273.49	283.38	1.2759	1.1199	8.6979	245.67	2.7258	53.107	0.080593	0.00034411	268.58	0.0037232	362.09	387.08	1.6215	1.2476	11.921	185.33	9.0093	21.306	0.053689
301.00	6.8683	658.69	0.0015182	278.32	288.75	1.2930	1.1631	11.053	228.18	3.0643	50.691	0.081612	0.00024127	286.15	0.0034947	358.05	382.05	1.6029	1.2972	15.859	182.61	8.6134	22.130	0.060462
302.00	7.0268	633.69	0.0015781	283.93	295.02	1.3130	1.2316	15.786	208.08	3.5060	47.914	0.084452	0.00014736	308.15	0.0032452	352.93	375.73	1.5802	1.3676	23.800	178.91	8.1391	23.214	0.071012
303.00	7.1890	599.86	0.0016671	291.07	303.05	1.3386	1.3702	30.233	182.14	4.1502	44.414	0.092768	6.5401e-05	339.00	0.0029499	345.67	366.87	1.5493	1.4925	47.599	172.71	7.5121	24.835	0.092355
