Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
193.00	0.16254	1205.7	0.00082939	14.216	14.351	0.075741	0.94735	1.7267	1081.0	-0.24768	0	0	0.021755	4.6279	0.21608	343.96	379.09	1.9656	0.60870	0.83861	215.55	37.887	0	0
194.00	0.17151	1202.7	0.00083148	15.940	16.082	0.084649	0.94621	1.7280	1074.6	-0.24554	0	0	0.021520	4.8653	0.20554	344.39	379.64	1.9587	0.61150	0.84311	215.85	37.322	0	0
195.00	0.18085	1199.7	0.00083357	17.664	17.815	0.093517	0.94510	1.7293	1068.2	-0.24334	0	0	0.021285	5.1120	0.19562	344.82	380.20	1.9519	0.61433	0.84768	216.14	36.768	0	0
196.00	0.19059	1196.6	0.00083569	19.390	19.549	0.10234	0.94400	1.7307	1061.8	-0.24108	0	0	0.021051	5.3682	0.18628	345.24	380.74	1.9452	0.61718	0.85233	216.42	36.223	0	0
197.00	0.20073	1193.6	0.00083782	21.116	21.285	0.11113	0.94293	1.7322	1055.5	-0.23877	0	0	0.020818	5.6342	0.17749	345.66	381.29	1.9386	0.62005	0.85706	216.70	35.689	0	0
198.00	0.21128	1190.5	0.00083997	22.844	23.022	0.11989	0.94188	1.7337	1049.1	-0.23640	0	0	0.020585	5.9102	0.16920	346.08	381.82	1.9320	0.62294	0.86186	216.97	35.165	0	0
199.00	0.22226	1187.5	0.00084214	24.574	24.761	0.12860	0.94085	1.7353	1042.7	-0.23396	0	0	0.020353	6.1966	0.16138	346.49	382.36	1.9256	0.62585	0.86673	217.23	34.651	0	0
200.00	0.23367	1184.4	0.00084433	26.304	26.502	0.13728	0.93984	1.7370	1036.3	-0.23146	0	0	0.020121	6.4935	0.15400	346.90	382.89	1.9192	0.62878	0.87168	217.48	34.146	0	0
201.00	0.24553	1181.3	0.00084653	28.036	28.244	0.14592	0.93885	1.7388	1030.0	-0.22890	0	0	0.019890	6.8012	0.14703	347.31	383.41	1.9129	0.63173	0.87671	217.72	33.651	0	0
202.00	0.25785	1178.2	0.00084876	29.770	29.989	0.15453	0.93788	1.7406	1023.6	-0.22627	0	0	0.019659	7.1201	0.14045	347.71	383.93	1.9067	0.63470	0.88181	217.96	33.166	0	0
